,Thousands of Passengers,1st_diff,2nd_diff,Seasonality,Forecast
1949-01-01,112,,,,
1949-02-01,118,6.0,,,
1949-03-01,132,14.0,8.0,,
1949-04-01,129,-3.0,-17.0,,
1949-05-01,121,-8.0,-5.0,,
1949-06-01,135,14.0,22.0,,
1949-07-01,148,13.0,-1.0,,
1949-08-01,148,0.0,-13.0,,
1949-09-01,136,-12.0,-12.0,,
1949-10-01,119,-17.0,-5.0,,
1949-11-01,104,-15.0,2.0,,
1949-12-01,118,14.0,29.0,,
1950-01-01,115,-3.0,-17.0,3.0,
1950-02-01,126,11.0,14.0,8.0,
1950-03-01,141,15.0,4.0,9.0,
1950-04-01,135,-6.0,-21.0,6.0,
1950-05-01,125,-10.0,-4.0,4.0,
1950-06-01,149,24.0,34.0,14.0,
1950-07-01,170,21.0,-3.0,22.0,
1950-08-01,170,0.0,-21.0,22.0,
1950-09-01,158,-12.0,-12.0,22.0,
1950-10-01,133,-25.0,-13.0,14.0,
1950-11-01,114,-19.0,6.0,10.0,
1950-12-01,140,26.0,45.0,22.0,
1951-01-01,145,5.0,-21.0,30.0,
1951-02-01,150,5.0,0.0,24.0,
1951-03-01,178,28.0,23.0,37.0,
1951-04-01,163,-15.0,-43.0,28.0,
1951-05-01,172,9.0,24.0,47.0,
1951-06-01,178,6.0,-3.0,29.0,
1951-07-01,199,21.0,15.0,29.0,
1951-08-01,199,0.0,-21.0,29.0,
1951-09-01,184,-15.0,-15.0,26.0,
1951-10-01,162,-22.0,-7.0,29.0,
1951-11-01,146,-16.0,6.0,32.0,
1951-12-01,166,20.0,36.0,26.0,
1952-01-01,171,5.0,-15.0,26.0,
1952-02-01,180,9.0,4.0,30.0,
1952-03-01,193,13.0,4.0,15.0,
1952-04-01,181,-12.0,-25.0,18.0,
1952-05-01,183,2.0,14.0,11.0,
1952-06-01,218,35.0,33.0,40.0,
1952-07-01,230,12.0,-23.0,31.0,
1952-08-01,242,12.0,0.0,43.0,
1952-09-01,209,-33.0,-45.0,25.0,
1952-10-01,191,-18.0,15.0,29.0,
1952-11-01,172,-19.0,-1.0,26.0,
1952-12-01,194,22.0,41.0,28.0,
1953-01-01,196,2.0,-20.0,25.0,
1953-02-01,196,0.0,-2.0,16.0,
1953-03-01,236,40.0,40.0,43.0,
1953-04-01,235,-1.0,-41.0,54.0,
1953-05-01,229,-6.0,-5.0,46.0,
1953-06-01,243,14.0,20.0,25.0,
1953-07-01,264,21.0,7.0,34.0,
1953-08-01,272,8.0,-13.0,30.0,
1953-09-01,237,-35.0,-43.0,28.0,
1953-10-01,211,-26.0,9.0,20.0,
1953-11-01,180,-31.0,-5.0,8.0,
1953-12-01,201,21.0,52.0,7.0,
1954-01-01,204,3.0,-18.0,8.0,
1954-02-01,188,-16.0,-19.0,-8.0,
1954-03-01,235,47.0,63.0,-1.0,
1954-04-01,227,-8.0,-55.0,-8.0,
1954-05-01,234,7.0,15.0,5.0,
1954-06-01,264,30.0,23.0,21.0,
1954-07-01,302,38.0,8.0,38.0,
1954-08-01,293,-9.0,-47.0,21.0,
